Name,Tier,Class,Type,EXP Cost,Steam Cost,Aether Cost,Prerequisites,Multi Purchase,Description
Augment: Create Emblem,Master,CRAFTING AND LABOR,Passives,8,,,,,"Can only be used when crafting a talisman. Adds +20 minutes and +8 pool to the item’s final crafting costs. You turn the talisman you were crafting into an emblem. While a talisman must occupy one of your hands to be active, an emblem occupies one of your accessory slots instead. When created, you determine what accessory slot the emblem occupies. The physrep for an emblem is any item worn in one of your accessory slots that bears some kind of image, icon, marking, pattern, or design that is clearly visible. For example, a gold ring with a gem in it is not an appropriate physrep for an emblem, but a ring with some design, image, or markings is. Other ideas for emblem physreps are shirts, tabards, brooches, robes, cloaks, rings, necklaces, gloves, hats, or goggles. When worn, emblems give the effect of their talisman form to all characters of the wearer’s choice within a Wave area around them (they may choose to make it a Bomb area instead and include themselves in the effect). If the original talisman has an invoked effect, the effect applies to all characters the invoker chooses within the area. Characters can only benefit from one emblem’s effect at a time, though they may still benefit from any non-emblem talismans or verges they wield themselves. You can suffer from the effect of any number of detrimental emblems at once."
Augment: Enduring Effigy,Master,CRAFTING AND LABOR,Passives,4,,,,,"Can only be used when crafting an effigy. Adds +20 minutes and +8 pool to the item’s final crafting costs. An effigy made with this augment is only sundered when it is used, not destroyed. Additionally, for the purposes of an engineer’s “Marvels,” an effigy with this augment can be Integrated like other implements, but it Sunders the device it is Integrated with when used."
Augment: Unlocked Verge,Master,CRAFTING AND LABOR,Passives,7,,,Remake,,"This augment can only be used on an existing verge via “Remake.” Takes 20 minutes and costs 8 pool to do. If the verge has any talismans merged with it that have an alternate effect while it is a verge, you may have them use the normal effect instead. If the verge has multiple talismans in it, you may choose for each one."
Icon Master,Master,CRAFTING AND LABOR,Passives,6,,,Master Implements crafting bundle,,"At the beginning of each Event, choose one non-wand item that falls under any tier of the Implements crafting bundle. Your Icon of Wonder gains the function of that item in addition to the other functions within the Mystic title perk until the end of the Event."
Inscriptionist Bundle: Master Implements,Master,CRAFTING AND LABOR,Passives,4,,,,,You can make all items in the Master Implements crafting bundle by following the crafting rules.
Oriflamme,Master,CRAFTING AND LABOR,Passives,5,,,,,"While you are touching a tapestry implement, it affects any characters of your choice that are within line of effect of the tapestry. Additionally, when you use the “Create Tapestry” augment, you may now choose for it to instead become a vehicle flag. Vehicle flags only function while they are equipped onto a massive vehicle such as an airship or steamboat. If they are, then in vehicle-combat their effects are applied to all friendly characters on the vehicle with the flag if it is a beneficial tapestry, or to all hostile characters within Range 1 of the vehicle if it is a detrimental tapestry. A vehicle can only fly one vehicle flag at a time."
Superimposed Verge,Master,CRAFTING AND LABOR,Passives,8,,,,,"You may use “Create Verge” on an item on an item to add one talisman to that item that does not take up an enhancement slot. Each item may only have one verge added this way, and any additional verges will take enhancement slots."
Warded Wonder,Master,CRAFTING AND LABOR,Passives,7,,,,,"Once per-period, while in possession of your Icon of Wonder you may call this passive in response to defend against any attack, spell, or mind effect. You may choose to have your Icon of Wonder sundered to augment this to defend against “Greater” or “Surprise”."
Decorate Tapestry,Master,CRAFTING AND LABOR,Passives,6,,,,,"(multi- purchase) Spend 1 minute per talisman decorating a tapestry with talismans equal to your purchases of this skill. For 1 hour that tapestry now provides the effects of all the talismans added to it as well as its normal effects. Afterwards, the added talismans are sundered."
Affinity Abundance,Master,CRAFTING AND LABOR,Passives,5,,,,,"When you gain affinity shards or slivers by using “Harvest Affinity,” you gain double that amount instead. Alternatively, you may choose to gain both one shard and three slivers instead of double of one type of that affinity material."
Augment: Living Affinity,Master,CRAFTING AND LABOR,Passives,5,,,Master Crucible Properties,,". Can only be used when crafting an item which has an effect that requires the user to have 1 or more levels in a specific affinity to use. Adds +20 minutes and +8 Pool to the item’s final crafting costs. This item can have its affinity effects activated by a crucible of the matching affinity. While at a crucible of the matching affinity, the wielder may spend 4 pool to activate all effects of that affinity for the period. The cost must be paid separately for each affinity. If any effects rely on you taking minimal damage, no effect, or healing from damage taken of this item’s affinity, you react to that damage as you normally would with your current affinities, but the effect will still activate. This also applies to the bonus effects on pure affinity items."
Don the Keeper’s Mail,Master,CRAFTING AND LABOR,Passives,7,,,,,"You may pour the contents of an Affinity crucible in your possession over your body. The elemental energy doesn’t harm you and instead forms into mystical armor and hardens around your weapons. An affinity crucible can only do this to a character once per Period, but you may use multiple different crucibles within that time. A character cannot have more than one set of keeper’s mail active on them at a time, regardless of affinity. For 1 hour, you gain the following effects:"
Elemental Efficiency,Master,CRAFTING AND LABOR,Passives,4,,,,,"You may consume Affinity materials to gain power from them. If you consume a sliver, these effects last for 1 hour. If you consume a shard, they last until the end of the Period. For the duration, you have 2 Efficiencies with both powers that either deal damage of or defend against the element associated with that shard or sliver, and when crafting or using “Remake” on items that require the same type of Affinity shard or sliver that you consumed. Some affinity shards apply to additional damage types: Vulcanite (Forge, Earth, Fire), Eye-of-the-Storm (Storm, Ice, Lightning), and Prism (Light, Spirit, Forge, Fire, Earth, Magic, Nature, Dark, Grim, Storm, Ice, Lightning, Chaos, Vile)."
